title,content
H38,Margin on sales of goods for resale
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H02,Sales of goods not further processed
H03,Sales of other goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H17,Purchases of goods bought for resale
H18,Other Purchases and operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H38,Margin on sales of goods for resale
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H02,Sales of goods not further processed
H03,Sales of other goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H17,Purchases of goods bought for resale
H18,Other Purchases and operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H38,Margin on sales of goods for resale
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H02,Sales of goods not further processed
H03,Sales of other goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H17,Purchases of goods bought for resale
H18,Other Purchases and operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H38,Margin on sales of goods for resale
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H02,Sales of goods not further processed
H03,Sales of other goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H17,Purchases of goods bought for resale
H18,Other Purchases and operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H38,Margin on sales of goods for resale
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H02,Sales of goods not further processed
H03,Sales of other goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H17,Purchases of goods bought for resale
H18,Other Purchases and operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H38,Margin on sales of goods for resale
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H02,Sales of goods not further processed
H03,Sales of other goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H17,Purchases of goods bought for resale
H18,Other Purchases and operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H38,Margin on sales of goods for resale
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H02,Sales of goods not further processed
H03,Sales of other goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H17,Purchases of goods bought for resale
H18,Other Purchases and operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H38,Margin on sales of goods for resale
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H02,Sales of goods not further processed
H03,Sales of other goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H17,Purchases of goods bought for resale
H18,Other Purchases and operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H38,Margin on sales of goods for resale
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H14,Salaries and wages to self employed commission agents
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H14,Salaries and wages to self employed commission agents
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H14,Salaries and wages to self employed commission agents
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H14,Salaries and wages to self employed commission agents
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H14,Salaries and wages to self employed commission agents
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H34,Total income per employee count
H35,Surplus per employee count
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H14,Salaries and wages to self employed commission agents
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H34,Total income per employee count
H35,Surplus per employee count
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H14,Salaries and wages to self employed commission agents
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H34,Total income per employee count
H35,Surplus per employee count
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H14,Salaries and wages to self employed commission agents
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H34,Total income per employee count
H35,Surplus per employee count
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H14,Salaries and wages to self employed commission agents
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H34,Total income per employee count
H35,Surplus per employee count
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H14,Salaries and wages to self employed commission agents
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H14,Salaries and wages to self employed commission agents
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H14,Salaries and wages to self employed commission agents
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H14,Salaries and wages to self employed commission agents
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H14,Salaries and wages to self employed commission agents
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H14,Salaries and wages to self employed commission agents
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H14,Salaries and wages to self employed commission agents
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
H39,Return on equity
H40,Return on total assets
H41,Liabilities structure
H01,Total income
H04,Sales of goods and services
H05,"Interest, dividends and donations"
H06,"Government funding, grants and subsidies"
H07,Non-operating income
H08,Total expenditure
H09,Interest and donations
H10,Indirect taxes
H11,Depreciation
H12,Salaries and wages paid
H13,Redundancy and severance
H19,Purchases and other operating expenses
H20,Non-operating expenses
H21,Opening stocks
H22,Closing stocks
H23,Surplus before income tax
H24,Total assets
H25,Current assets
H26,Fixed tangible assets
H27,Additions to fixed assets
H28,Disposals of fixed assets
H29,Other assets
H30,Total equity and liabilities
H31,Shareholders funds or owners equity
H32,Current liabilities
H33,Other liabilities
H34,Total income per employee count
H35,Surplus per employee count
H36,Current ratio
H37,Quick ratio
